strategy_key,name,commodity,total_trades,total_return_pct,win_rate_pct,max_drawdown_pct,is_baseline,error
commodity_gold_winning,Gold Winning Strategy - 4% SL / 8% TP,GOLD,26.0,2.2995516714999393,,0.024103604392980187,True,
step1_ichimoku_Ichimoku_T9_K26_SB52_ADX15,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T9_K26_SB52_ADX15' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T9_K26_SB52_ADX20,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T9_K26_SB52_ADX20' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T9_K26_SB52_ADX25,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T9_K26_SB52_ADX25' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T9_K26_SB52_ADXNone,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T9_K26_SB52_ADXNone' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T9_K26_SB60_ADX15,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T9_K26_SB60_ADX15' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T9_K26_SB60_ADX20,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T9_K26_SB60_ADX20' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T9_K26_SB60_ADX25,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T9_K26_SB60_ADX25' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T9_K26_SB60_ADXNone,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T9_K26_SB60_ADXNone' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T9_K26_SB65_ADX15,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T9_K26_SB65_ADX15' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T9_K26_SB65_ADX20,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T9_K26_SB65_ADX20' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T9_K26_SB65_ADX25,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T9_K26_SB65_ADX25' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T9_K26_SB65_ADXNone,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T9_K26_SB65_ADXNone' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T9_K30_SB52_ADX15,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T9_K30_SB52_ADX15' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T9_K30_SB52_ADX20,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T9_K30_SB52_ADX20' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T9_K30_SB52_ADX25,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T9_K30_SB52_ADX25' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T9_K30_SB52_ADXNone,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T9_K30_SB52_ADXNone' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T9_K30_SB60_ADX15,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T9_K30_SB60_ADX15' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T9_K30_SB60_ADX20,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T9_K30_SB60_ADX20' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T9_K30_SB60_ADX25,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T9_K30_SB60_ADX25' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T9_K30_SB60_ADXNone,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T9_K30_SB60_ADXNone' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
step1_ichimoku_Ichimoku_T9_K30_SB65_ADX15,,GOLD,,,,,False,"""Strategy key 'step1_ichimoku_Ichimoku_T9_K30_SB65_ADX15' not found in /Users/andrey/GitHub_projects/BacktestBot/config/strategies.yaml"""
