strategy_key,commodity,error,is_baseline
commodity_gold_winning,GOLD,'timestamp',True
step1_ichimoku_Ichimoku_T9_K26_SB52_ADX15,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T9_K26_SB52_ADX20,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T9_K26_SB52_ADX25,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T9_K26_SB52_ADXNone,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T9_K26_SB60_ADX15,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T9_K26_SB60_ADX20,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T9_K26_SB60_ADX25,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T9_K26_SB60_ADXNone,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T9_K26_SB65_ADX15,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T9_K26_SB65_ADX20,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T9_K26_SB65_ADX25,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T9_K26_SB65_ADXNone,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T9_K30_SB52_ADX15,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T9_K30_SB52_ADX20,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T9_K30_SB52_ADX25,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T9_K30_SB52_ADXNone,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T9_K30_SB60_ADX15,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T9_K30_SB60_ADX20,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T9_K30_SB60_ADX25,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T9_K30_SB60_ADXNone,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T9_K30_SB65_ADX15,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T9_K30_SB65_ADX20,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T9_K30_SB65_ADX25,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T9_K30_SB65_ADXNone,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T9_K34_SB52_ADX15,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T9_K34_SB52_ADX20,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T9_K34_SB52_ADX25,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T9_K34_SB52_ADXNone,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T9_K34_SB60_ADX15,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T9_K34_SB60_ADX20,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T9_K34_SB60_ADX25,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T9_K34_SB60_ADXNone,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T9_K34_SB65_ADX15,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T9_K34_SB65_ADX20,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T9_K34_SB65_ADX25,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T9_K34_SB65_ADXNone,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K26_SB52_ADX15,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K26_SB52_ADX20,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K26_SB52_ADX25,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K26_SB52_ADXNone,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K26_SB60_ADX15,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K26_SB60_ADX20,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K26_SB60_ADX25,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K26_SB60_ADXNone,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K26_SB65_ADX15,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K26_SB65_ADX20,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K26_SB65_ADX25,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K26_SB65_ADXNone,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K30_SB52_ADX15,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K30_SB52_ADX20,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K30_SB52_ADX25,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K30_SB52_ADXNone,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K30_SB60_ADX15,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K30_SB60_ADX20,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K30_SB60_ADX25,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K30_SB60_ADXNone,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K30_SB65_ADX15,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K30_SB65_ADX20,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K30_SB65_ADX25,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K30_SB65_ADXNone,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K34_SB52_ADX15,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K34_SB52_ADX20,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K34_SB52_ADX25,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K34_SB52_ADXNone,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K34_SB60_ADX15,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K34_SB60_ADX20,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K34_SB60_ADX25,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K34_SB60_ADXNone,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K34_SB65_ADX15,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K34_SB65_ADX20,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K34_SB65_ADX25,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T12_K34_SB65_ADXNone,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K26_SB52_ADX15,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K26_SB52_ADX20,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K26_SB52_ADX25,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K26_SB52_ADXNone,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K26_SB60_ADX15,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K26_SB60_ADX20,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K26_SB60_ADX25,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K26_SB60_ADXNone,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K26_SB65_ADX15,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K26_SB65_ADX20,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K26_SB65_ADX25,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K26_SB65_ADXNone,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K30_SB52_ADX15,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K30_SB52_ADX20,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K30_SB52_ADX25,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K30_SB52_ADXNone,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K30_SB60_ADX15,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K30_SB60_ADX20,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K30_SB60_ADX25,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K30_SB60_ADXNone,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K30_SB65_ADX15,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K30_SB65_ADX20,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K30_SB65_ADX25,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K30_SB65_ADXNone,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K34_SB52_ADX15,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K34_SB52_ADX20,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K34_SB52_ADX25,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K34_SB52_ADXNone,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K34_SB60_ADX15,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K34_SB60_ADX20,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K34_SB60_ADX25,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K34_SB60_ADXNone,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K34_SB65_ADX15,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K34_SB65_ADX20,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K34_SB65_ADX25,GOLD,'timestamp',False
step1_ichimoku_Ichimoku_T15_K34_SB65_ADXNone,GOLD,'timestamp',False
step1_macd_MACD_F10_S24_Sig7,GOLD,'timestamp',False
step1_macd_MACD_F10_S24_Sig9,GOLD,'timestamp',False
step1_macd_MACD_F10_S24_Sig11,GOLD,'timestamp',False
step1_macd_MACD_F10_S26_Sig7,GOLD,'timestamp',False
step1_macd_MACD_F10_S26_Sig9,GOLD,'timestamp',False
step1_macd_MACD_F10_S26_Sig11,GOLD,'timestamp',False
step1_macd_MACD_F10_S28_Sig7,GOLD,'timestamp',False
step1_macd_MACD_F10_S28_Sig9,GOLD,'timestamp',False
step1_macd_MACD_F10_S28_Sig11,GOLD,'timestamp',False
step1_macd_MACD_F12_S24_Sig7,GOLD,'timestamp',False
step1_macd_MACD_F12_S24_Sig9,GOLD,'timestamp',False
step1_macd_MACD_F12_S24_Sig11,GOLD,'timestamp',False
step1_macd_MACD_F12_S26_Sig7,GOLD,'timestamp',False
step1_macd_MACD_F12_S26_Sig9,GOLD,'timestamp',False
step1_macd_MACD_F12_S26_Sig11,GOLD,'timestamp',False
step1_macd_MACD_F12_S28_Sig7,GOLD,'timestamp',False
step1_macd_MACD_F12_S28_Sig9,GOLD,'timestamp',False
step1_macd_MACD_F12_S28_Sig11,GOLD,'timestamp',False
step1_macd_MACD_F14_S24_Sig7,GOLD,'timestamp',False
step1_macd_MACD_F14_S24_Sig9,GOLD,'timestamp',False
step1_macd_MACD_F14_S24_Sig11,GOLD,'timestamp',False
step1_macd_MACD_F14_S26_Sig7,GOLD,'timestamp',False
step1_macd_MACD_F14_S26_Sig9,GOLD,'timestamp',False
step1_macd_MACD_F14_S26_Sig11,GOLD,'timestamp',False
step1_macd_MACD_F14_S28_Sig7,GOLD,'timestamp',False
step1_macd_MACD_F14_S28_Sig9,GOLD,'timestamp',False
step1_macd_MACD_F14_S28_Sig11,GOLD,'timestamp',False
step1_psar_PSAR_AF0.01_Max0.15,GOLD,'timestamp',False
step1_psar_PSAR_AF0.01_Max0.2,GOLD,'timestamp',False
step1_psar_PSAR_AF0.01_Max0.25,GOLD,'timestamp',False
step1_psar_PSAR_AF0.02_Max0.15,GOLD,'timestamp',False
step1_psar_PSAR_AF0.02_Max0.2,GOLD,'timestamp',False
step1_psar_PSAR_AF0.02_Max0.25,GOLD,'timestamp',False
step1_psar_PSAR_AF0.03_Max0.15,GOLD,'timestamp',False
step1_psar_PSAR_AF0.03_Max0.2,GOLD,'timestamp',False
step1_psar_PSAR_AF0.03_Max0.25,GOLD,'timestamp',False
commodity_oil_winning,CLOIL,'timestamp',True
step1_ichimoku_Ichimoku_T9_K26_SB52_ADX15,CLOIL,'timestamp',False
step1_ichimoku_Ichimoku_T9_K26_SB52_ADX20,CLOIL,'timestamp',False
step1_ichimoku_Ichimoku_T9_K26_SB52_ADX25,CLOIL,'timestamp',False
step1_ichimoku_Ichimoku_T9_K26_SB52_ADXNone,CLOIL,'timestamp',False
step1_ichimoku_Ichimoku_T9_K26_SB60_ADX15,CLOIL,'timestamp',False
step1_ichimoku_Ichimoku_T9_K26_SB60_ADX20,CLOIL,'timestamp',False
step1_ichimoku_Ichimoku_T9_K26_SB60_ADX25,CLOIL,'timestamp',False
step1_ichimoku_Ichimoku_T9_K26_SB60_ADXNone,CLOIL,'timestamp',False
step1_ichimoku_Ichimoku_T9_K26_SB65_ADX15,CLOIL,'timestamp',False
step1_ichimoku_Ichimoku_T9_K26_SB65_ADX20,CLOIL,'timestamp',False
step1_ichimoku_Ichimoku_T9_K26_SB65_ADX25,CLOIL,'timestamp',False
step1_ichimoku_Ichimoku_T9_K26_SB65_ADXNone,CLOIL,'timestamp',False
step1_ichimoku_Ichimoku_T9_K30_SB52_ADX15,CLOIL,'timestamp',False
step1_ichimoku_Ichimoku_T9_K30_SB52_ADX20,CLOIL,'timestamp',False
step1_ichimoku_Ichimoku_T9_K30_SB52_ADX25,CLOIL,'timestamp',False
step1_ichimoku_Ichimoku_T9_K30_SB52_ADXNone,CLOIL,'timestamp',False
step1_ichimoku_Ichimoku_T9_K30_SB60_ADX15,CLOIL,'timestamp',False
step1_ichimoku_Ichimoku_T9_K30_SB60_ADX20,CLOIL,'timestamp',False
step1_ichimoku_Ichimoku_T9_K30_SB60_ADX25,CLOIL,'timestamp',False
step1_ichimoku_Ichimoku_T9_K30_SB60_ADXNone,CLOIL,'timestamp',False
step1_ichimoku_Ichimoku_T9_K30_SB65_ADX15,CLOIL,'timestamp',False
step1_ichimoku_Ichimoku_T9_K30_SB65_ADX20,CLOIL,'timestamp',False
step1_ichimoku_Ichimoku_T9_K30_SB65_ADX25,CLOIL,'timestamp',False
step1_ichimoku_Ichimoku_T9_K30_SB65_ADXNone,CLOIL,'timestamp',False
step1_ichimoku_Ichimoku_T9_K34_SB52_ADX15,CLOIL,'timestamp',False
step1_ichimoku_Ichimoku_T9_K34_SB52_ADX20,CLOIL,'timestamp',False
step1_ichimoku_Ichimoku_T9_K34_SB52_ADX25,CLOIL,'timestamp',False
